example_id                                          | status | run_time              |
./spec/models/spree/product_spec.rb[1:5:1]          | passed | 0.0012 seconds        |
./spec/models/spree/product_spec.rb[1:5:2]          | passed | 0.00103 seconds       |
./spec/models/spree/product_spec.rb[1:6:1]          | passed | 0.07397 seconds       |
./spec/models/spree/product_spec.rb[1:6:2]          | passed | 0.07396 seconds       |
./spec/models/spree/product_spec.rb[1:6:3]          | passed | 0.08281 seconds       |
./spec/models/spree/product_spec.rb[1:6:4]          | passed | 0.08013 seconds       |
./spec/models/spree/product_spec.rb[1:7:1]          | passed | 0.07955 seconds       |
./spec/models/spree/product_spec.rb[1:8:1:1:1]      | passed | 0.00309 seconds       |
./spec/models/spree/product_spec.rb[1:8:2:1:1]      | passed | 0.00276 seconds       |
./spec/models/spree/product_spec.rb[1:8:2:2]        | passed | 0.00258 seconds       |
./spec/models/spree/user_spec.rb[1:1:1]             | failed | 0.00388 seconds       |
./spec/models/spree/user_spec.rb[1:1:2]             | failed | 0.00511 seconds       |
./spec/models/spree/user_spec.rb[1:1:3]             | failed | 0.0049 seconds        |
./spec/models/spree/user_spec.rb[1:1:4]             | failed | 0.00405 seconds       |
./spec/models/spree/user_spec.rb[1:1:5]             | failed | 0.00368 seconds       |
./spec/models/spree/user_spec.rb[1:1:6:1]           | failed | 0.00433 seconds       |
./spec/models/spree/user_spec.rb[1:1:7:1]           | failed | 0.00371 seconds       |
./spec/models/spree/user_spec.rb[1:1:8]             | failed | 0.00436 seconds       |
./spec/models/spree/user_spec.rb[1:1:9:1]           | failed | 0.00395 seconds       |
./spec/models/spree/user_spec.rb[1:1:9:2]           | failed | 0.00412 seconds       |
./spec/models/spree/user_spec.rb[1:1:10:1]          | failed | 0.00373 seconds       |
./spec/models/spree/user_spec.rb[1:1:10:2]          | failed | 0.00391 seconds       |
./spec/models/spree/user_spec.rb[2:1:1:1:1]         | passed | 0.00224 seconds       |
./spec/models/spree/user_spec.rb[2:1:1:2:1]         | passed | 0.00224 seconds       |
./spec/models/spree/user_spec.rb[2:1:2:1]           | passed | 0.00283 seconds       |
./spec/models/spree/user_spec.rb[2:1:3:1]           | passed | 0.00198 seconds       |
./spec/models/spree/user_spec.rb[2:1:4:1:1]         | passed | 0.00235 seconds       |
./spec/models/spree/user_spec.rb[2:1:4:2:1]         | passed | 0.01797 seconds       |
./spec/models/spree/user_spec.rb[2:1:5:1]           | passed | 0.04264 seconds       |
./spec/models/spree/user_spec.rb[2:2:1:1]           | failed | 0.00341 seconds       |
./spec/models/spree/user_spec.rb[2:2:2:1:1:1]       | failed | 0.00388 seconds       |
./spec/models/spree/user_spec.rb[2:2:2:1:2:1]       | failed | 0.02776 seconds       |
./spec/models/spree/user_spec.rb[2:2:2:2:1:1]       | failed | 0.00368 seconds       |
./spec/models/spree/user_spec.rb[2:2:2:2:2:1]       | failed | 0.00352 seconds       |
./spec/models/spree/user_spec.rb[2:2:2:3:1]         | failed | 0.00715 seconds       |
./spec/models/spree_user_spec.rb[1:1]               | passed | 0.03763 seconds       |
